id,user_id,amount,price,qty,fare,distance,value,join_date
1,U103,942.0,38.76003961879801,11.0,449,11,290,2025-05-08
2,U271,-83.0,-4.7386097566483985,,286,99,224,2025-11-03
3,U107,668.0,-5.81759669387996,4.0,430,42,981,2025-01-22
4,U072,489.0,72.08279832300224,17.0,222,13,619,2025-08-04
5,U189,909.0,62.493908762404885,18.0,7,36,429,2025-04-17
6,U021,93.0,78.23436139403462,5.0,277,13,110,2025-04-19
7,U103,401.0,1.5904287348086559,17.0,58,12,972,2025-12-23
8,U122,887.0,-6.087204626089681,5.0,228,37,530,2025-06-30
9,U215,13.0,45.94372183923363,3.0,277,74,582,2025-12-22
10,U088,846.0,32.63547546310465,11.0,264,73,318,2025-06-13
11,U100,730.0,40.81416303380514,18.0,423,52,667,2025-03-09
12,U152,824.0,99.07472497573013,1.0,60,71,948,2025-10-19
13,U131,-46.0,96.78249534377372,16.0,178,2,940,2025-06-29
14,U150,699.0,93.65469286405121,10.0,446,56,519,2025-06-30
15,U258,677.0,76.22269444444412,10.0,105,60,72,2025-06-18
16,U294,61.0,29.032549628257946,15.0,422,23,642,2025-01-22
17,U192,-14.0,35.33440232890487,1.0,221,40,235,2025-03-07
18,U277,-46.0,50.457764809081695,1.0,-49,64,114,2025-01-21
19,U161,931.0,81.3587902045324,7.0,460,85,983,2025-04-10
20,U022,732.0,-2.441588422990546,12.0,235,23,781,2025-10-27
21,U253,212.0,36.67265744733769,9.0,-38,29,870,2025-04-13
22,U236,658.0,-0.9120570194804447,7.0,447,78,434,2025-02-16
23,U049,342.0,46.612334523086275,3.0,187,90,264,2025-02-08
24,U059,227.0,88.87909064068589,14.0,43,51,438,2025-10-12
25,U170,977.0,76.07334170203318,0.0,287,69,443,2025-11-06
26,U188,660.0,,10.0,120,95,216,2025-03-31
27,U271,478.0,97.35899345586716,6.0,416,89,37,2025-03-26
28,U190,974.0,63.40854378510713,16.0,92,31,691,2025-09-30
29,U175,906.0,-8.852953066285663,19.0,150,50,345,2025-12-02
30,U051,-5.0,18.095483315374146,17.0,129,20,597,2025-07-07
31,U055,713.0,18.67846299119082,11.0,313,55,637,2025-06-08
32,U244,390.0,-2.3820263085554068,8.0,428,81,78,2025-08-31
33,U131,351.0,95.58091698835219,4.0,420,2,875,2025-03-14
34,U135,64.0,,9.0,333,25,755,2025-02-18
35,U021,81.0,88.53960571090701,3.0,366,13,522,2025-04-11
36,U167,368.0,25.443705378909115,4.0,257,92,176,2025-01-02
37,U274,809.0,3.775692747610984,9.0,316,70,873,2025-09-01
38,U089,634.0,42.17697208968353,10.0,-50,67,739,2025-06-25
39,U014,722.0,2.535229818574887,9.0,-7,58,794,2025-08-26
40,U242,,43.461705327529394,7.0,47,99,377,2025-02-28
41,U265,-94.0,91.23268993413485,1.0,214,82,260,2025-12-19
42,U053,229.0,47.284495601763396,7.0,89,75,868,2025-04-09
43,U092,674.0,57.81496995845919,15.0,430,84,865,2025-12-25
44,U264,50.0,7.230228067118915,4.0,186,64,940,2025-01-02
45,U035,46.0,-5.1890811532033565,2.0,21,69,695,2025-08-31
46,U206,814.0,2.188875839778774,11.0,139,83,179,2025-10-24
47,U081,599.0,55.83847332528022,12.0,217,86,767,2025-07-30
48,U050,-19.0,0.4512868891535131,12.0,270,59,944,2025-05-03
49,U002,413.0,31.359217893544255,9.0,56,60,99,2025-08-17
50,U054,714.0,50.510113450397164,3.0,181,83,570,2025-03-23
51,U106,608.0,32.751807849283175,8.0,-9,62,455,2025-05-24
52,U260,645.0,8.005218161183162,1.0,88,16,303,2025-05-20
53,U191,922.0,20.11704382655172,18.0,222,88,928,2025-01-29
54,U218,606.0,92.11492861334347,0.0,430,68,159,2025-09-27
55,U044,370.0,64.3580503144991,6.0,365,15,141,2025-09-04
